Maquina1.2,12,Maquina1.3,0,Maquina1.4,77,Maquina1.5,0,Maquina1.6,141,Maquina 1,7,0,
Maquina1.2,42,Maquina1.3,126,Maquina1.4,0,Maquina1.5,0,Maquina1.6,198,Maquina 1,7,0,
Maquina1.2,54,Maquina1.3,125,Maquina1.4,0,Maquina1.5,0,Maquina1.6,197,Maquina 1,7,0,
Maquina1.2,64,Maquina1.3,143,Maquina1.4,0,Maquina1.5,0,Maquina1.6,206,Maquina 1,7,0,
Maquina1.2,95,Maquina1.3,164,Maquina1.4,0,Maquina1.5,0,Maquina1.6,266,Maquina 1,7,0,
Maquina1.2,113,Maquina1.3,0,Maquina1.4,192,Maquina1.5,0,Maquina1.6,280,Maquina 1,7,0,
Maquina1.2,30,Maquina1.3,122,Maquina1.4,0,Maquina1.5,2,Maquina1.6,0,Maquina 1,7,304,
Maquina1.2,87,Maquina1.3,144,Maquina1.4,0,Maquina1.5,4,Maquina1.6,0,Maquina 1,7,319,
Maquina1.2,181,Maquina1.3,0,Maquina1.4,271,Maquina1.5,0,Maquina1.6,417,Maquina 1,7,0,
Maquina1.2,202,Maquina1.3,287,Maquina1.4,0,Maquina1.5,0,Maquina1.6,465,Maquina 1,7,0,
Maquina1.2,133,Maquina1.3,197,Maquina1.4,0,Maquina1.5,6,Maquina1.6,0,Maquina 1,7,523,
Maquina1.2,139,Maquina1.3,199,Maquina1.4,0,Maquina1.5,6,Maquina1.6,0,Maquina 1,7,527,
Maquina1.2,210,Maquina1.3,312,Maquina1.4,0,Maquina1.5,0,Maquina1.6,528,Maquina 1,7,0,
Maquina1.2,219,Maquina1.3,0,Maquina1.4,335,Maquina1.5,0,Maquina1.6,503,Maquina 1,7,0,
Maquina1.2,154,Maquina1.3,236,Maquina1.4,0,Maquina1.5,8,Maquina1.6,0,Maquina 1,7,524,
Maquina1.2,244,Maquina1.3,0,Maquina1.4,326,Maquina1.5,0,Maquina1.6,537,Maquina 1,7,0,
Maquina1.2,177,Maquina1.3,273,Maquina1.4,0,Maquina1.5,9,Maquina1.6,0,Maquina 1,7,650,
Maquina1.2,272,Maquina1.3,436,Maquina1.4,0,Maquina1.5,0,Maquina1.6,657,Maquina 1,7,0,
Maquina1.2,296,Maquina1.3,459,Maquina1.4,0,Maquina1.5,0,Maquina1.6,672,Maquina 1,7,0,
Maquina1.2,310,Maquina1.3,0,Maquina1.4,459,Maquina1.5,0,Maquina1.6,674,Maquina 1,7,0,
Maquina1.2,319,Maquina1.3,0,Maquina1.4,512,Maquina1.5,0,Maquina1.6,702,Maquina 1,7,0,
Maquina1.2,323,Maquina1.3,0,Maquina1.4,530,Maquina1.5,0,Maquina1.6,752,Maquina 1,7,0,
Maquina1.2,196,Maquina1.3,313,Maquina1.4,0,Maquina1.5,12,Maquina1.6,0,Maquina 1,7,782,
