1,1,6,Maquina1.1,2018,4,24,0,0,2018,4,24,0,8,
2,2,7,Maquina1.2,2018,4,24,0,0,2018,4,24,0,19,
3,1,8,Maquina1.3,2018,4,24,0,0,2018,4,24,0,26,
5,1,3,Maquina2.1,2018,4,24,0,0,2018,4,24,0,42,
4,2,2,Maquina1.3,2018,4,24,0,0,2018,4,24,0,53,
6,2,4,Maquina1.3,2018,4,24,0,0,2018,4,24,1,0,
7,1,5,Maquina1.3,2018,4,24,0,0,2018,4,24,1,9,
8,2,1,Maquina1.3,2018,4,24,0,0,2018,4,24,1,19,
1,1,6,Maquina2.2,2018,4,24,0,8,2018,4,24,1,31,
2,2,7,Maquina3.1,2018,4,24,0,19,2018,4,24,1,40,
3,1,8,Maquina2.3,2018,4,24,0,26,2018,4,24,1,52,
5,1,3,Maquina4.1,2018,4,24,0,42,2018,4,24,2,52,
4,2,2,Maquina2.1,2018,4,24,0,53,2018,4,24,3,9,
6,2,4,Maquina2.3,2018,4,24,1,0,2018,4,24,3,26,
7,1,5,Maquina2.3,2018,4,24,1,9,2018,4,24,3,45,
8,2,1,Maquina2.3,2018,4,24,1,19,2018,4,24,4,2,
1,1,6,Maquina4.2,2018,4,24,1,31,2018,4,24,4,51,
2,2,7,Maquina4.2,2018,4,24,1,40,2018,4,24,5,40,
3,1,8,Maquina4.2,2018,4,24,1,52,2018,4,24,6,17,
4,2,2,Maquina4.1,2018,4,24,3,9,2018,4,24,6,59,
6,2,4,Maquina3.1,2018,4,24,3,26,2018,4,24,7,6,
7,1,5,Maquina3.2,2018,4,24,3,45,2018,4,24,7,15,
8,2,1,Maquina3.3,2018,4,24,4,2,2018,4,24,7,26,
2,2,7,Maquina5.1,2018,4,24,5,40,2018,4,24,7,38,
3,1,8,Maquina6.1,2018,4,24,6,17,2018,4,24,7,44,
4,2,2,Maquina5.2,2018,4,24,6,59,2018,4,24,7,57,
6,2,4,Maquina4.1,2018,4,24,7,6,2018,4,24,8,32,
7,1,5,Maquina4.2,2018,4,24,7,15,2018,4,24,9,25,
8,2,1,Maquina4.2,2018,4,24,7,26,2018,4,24,10,14,
2,2,7,Maquina6.2,2018,4,24,7,38,2018,4,24,10,19,
6,2,4,Maquina6.1,2018,4,24,8,32,2018,4,24,10,27,
7,1,5,Maquina6.3,2018,4,24,9,25,2018,4,24,10,34,
8,2,1,Maquina6.3,2018,4,24,10,14,2018,4,24,10,40,
